"Organisation Name",Website,ASN,"Peering Policy","IPv4 Address","IPv6 Address",Location,"Switch Slot/[Pic/]Port","Port Type","Service Speed","Service Type","Membership Type","Route Servers"
"01 Telecom Ltd",http://www.01t.co.uk,201933,Open,195.66.239.241,2001:7f8:4:1:0:3:14cd:1,"Telehouse North (THN)","edge1-thn-lon2 xe18",10G,10000,Regular,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"01 Telecom Ltd",http://www.01t.co.uk,201933,Open,195.66.227.214,2001:7f8:4::3:14cd:1,"Telehouse North (THN)","edge2-thn xe-4/1/0",10G,10000,Regular,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"100 Percent IT",http://www.100percentit.com,20915,Open,195.66.225.213,2001:7f8:4::51b3:1,"Telehouse North (THN)","edge1-thn ge-8/0/1",1000,1000,Regular,full,"rs1.lon1, rs3.lon1"
"23media GmbH",https://23m.com,47447,Open,195.66.227.70,2001:7f8:4::b957:1,"Telehouse East (THE)","edge4-the VLAN: 397",ConneXions,1000,ConneXions,full,
"24Shells Inc",https://www.24shells.net/,55081,Open,195.66.227.116,2001:7f8:4::d729:1,"Telehouse North (THN)","edge3-thn xe-5/3/1",10G,10000,Regular,full,"rs1.lon1, rs3.lon1"
"31173 Services AB",http://www.31173.se/,39351,Open,195.66.226.62,2001:7f8:4::99b7:1,"Interxion LON2 (IN2)","edge1-in2 xe-8/3/3",10G,10000,Regular,full,"rs1.lon1, rs3.lon1"
"34SP.com Ltd",http://www.34sp.com/,41357,Open,195.66.244.35,2001:7f8:4:2::a18d:1,"Equinix MA1 Williams House (TCW)","edge5-tcw-man1 VLAN: 2188",ConneXions,100,ConneXions,full,"rs1.man1, rs2.man1"
"4D Data Centres Ltd",http://www.4d-dc.com,31463,Selective,195.66.237.215,2001:7f8:4:1::7ae7:1,"Telehouse East (THE)","edge2-the-lon2 xe28",1000,1000,Regular,"ConneXions,full","rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"4D Data Centres Ltd",http://www.4d-dc.com,31463,Selective,195.66.225.215,2001:7f8:4::7ae7:1,"Telehouse North (THN)","edge3-thn xe-4/2/1",10G,10000,multiservice_port,"ConneXions,full","rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Aamra Technologies Limited",https://www.aamra.com.bd/,58601,Open,195.66.227.59,2001:7f8:4::e4e9:1,"Telehouse North (THN)","core3-thn VLAN: 1560",ConneXions,10000,ConneXions,full,"rs1.lon1, rs3.lon1"
